id,word_count,is_long,article,reference
a27c3b016d3e11d2ac55632af3d9f64b20ecb052,212,False,"Barcelona are fighting for a league and cup double this season but midfield playmaker Ivan Rakitic enjoyed some time away from the heat of battle with his family to celebrate St George's day. Rakitic shared a picture with his 425,000 Instagram followers of him with his wife and daughter with the caption 'Happy St George's Day, I will enjoy with my princesses.' Rakitic's wife, Raquel Mauri, also posted an image of her celebrations with Barcelona star Rakitic. Ivan Rakitic poses alongside his wife Raquel Mauri as the pair enjoy the St George's day celebrations . Barcelona man Rakitic also shared a picture with his wife and daughter, who he described as his 'princesses' Rakitic (left) has been an integral part of Barcelona's team since signing from Sevilla . Rakitic played the full 90 minutes as Barcelona sealed progress to the semi-final of the Champions League with a 5-1 aggregate victory over Paris Saint-Germain thanks to a 2-0 win on Tuesday. The Croatia midfielder has been instrumental for Luis Enrique's La Liga-leading side since signing from rivals Sevilla in June. Barcelona have a two-point lead over Real Madrid in the Spanish league with six games remaining. They also await Friday's Champions League semi-final draw, where they could face Madrid, Juventus or Bayern Munich.","Ivan Rakitic celebrated St George's Day with his wife and daughter .
The Barcelona midfielder played the whole game in Tuesday's PSG win .
Barcelona lead La Liga by two points and are in Champions League semis .
CLICK HERE for Sportsmail's lowdown on the Champions League final four .
Who will win the Champions League? Our reporters have their say..."
7f86db7661c4a6d63e8c4eb181788faa9019fc63,288,False,"Blackburn Rovers boss Gary Bowyer has challenged star striker Jordan Rhodes to become an FA Cup hero as the Championship underdogs face Liverpool in the first full house at Ewood Park since 2011. Rovers rejected a £12million bid from Hull City for Scotland international Rhodes at the start of the season — a decision that will be vindicated should the 17-goal striker score the winner in Wednesday night's sixth-round replay and take his side to Wembley. ‘Someone has got to be the hero for Blackburn Rovers,’ said Bowyer. ‘We will need heroes in terms of defending and work-rate, but we also need a match-winner and there is probably no-one better than Jordan Rhodes. Hopefully he can step up and have his name in lights.’ Blackburn boss Gary Bowyer has said Jordan Rhodes (centre) can become an Ewood Park hero . Rhodes goes into the FA Cup replay on the back of scoring in Blackburn's 3-0 win over Leeds . Rovers were a laughing stock when they were last in the FA Cup quarter-finals in 2013 and only 8,000 turned up at Ewood Park to see them lose to Millwall, but Bowyer said: ‘There will be an extra 20,000 people in the stadium compared to that game against Millwall. 'I think it’s recognition from the supporters who have realised the amount of hard work that’s gone into what we’re trying to do, myself and the staff.’ Blackburn’s run is even more impressive because of a restricted squad of 24 players due to breaching Financial Fair Play rules. They also have injuries to Josh King, Chris Taylor, Rudy Gestede and Grant Hanley. Rovers boss Bowyer believes his side will be buoyed by the 'extra 20,000 people' at Ewood Park .","Gary Bowyer hopes Jordan Rhodes can fire Blackburn into next round .
Blackburn face Liverpool at home after drawing with the Reds at Anfield .
The Championship outfit will have their first sell-out crowd since 2011 ."
5b2a63d98effd3adfa5bb80edf9b073111adc7c1,207,False,"Aston Villa owner Randy Lerner didn’t attend Wembley on Sunday after his aunt passed away. The 53-year-old American had been tipped to make a rare appearance but boss Tim Sherwood said: ‘I’ve not spoken to him yet. My phone is buzzing in my pocket but I don’t know who it is. ‘He’s had a family bereavement so I’m not sure if he could make it. I spoke to him in the week. If he’s not here in body he’s certainly here in spirit. He’s the biggest Aston Villa fan I know.’ Aston Villa owner Randy Lerner is rarely seen at the club's games, but was expected to appear at Wembley . Lerner has been publicly trying to sell Villa since last May, and is hopeful of concluding a deal worth around £150million once the season is finished. Villa put in an excellent display to upset Liverpool at Wembley and reach their first FA Cup final since Lerner bought the club. Philippe Coutinho's deflected shot had put Liverpool ahead but goals from Christian Benteke and Fabian Delph saw Sherwood's side bounce back to reach the final . Lerner missed his side put in an excellent display, with Fabian Delph's goal booking them a place in the final .","Randy Lerner was expected to make a rare appearance for Wembley game .
But Lerner had to miss the match on Sunday after his aunt died .
Aston Villa beat Liverpool to reach the FA Cup final ."
69effb1306a923330b77befbd6b82a92567486bf,283,False,"James Tomkins hopes to return to action with West Ham before the end of the season, but the defender knows his campaign may be over. Tomkins dislocated his shoulder in the gym last month and has undergone successful surgery. 'Hopefully it will not set me back and I will be able to play a couple of games before the end of the season, you never know,' he said on whufc.com. James Tomkins hopes to return to action with West Ham before the end of the season . Tomkins, seen with Stewart Downing,  dislocated his shoulder in the gym underwent successful surgery . 'It depends on how well it goes. I'm preparing myself mentally that I won't play again this season, so if I come back earlier then it's a bonus. 'I was in the gym doing some exercises like I normally do, but just went a bit too far with one of them and unfortunately I dislocated my shoulder. 'I'd have been frustrated if I had done it on the pitch, so to do it in the gym made it even more frustrating. Tomkins celebrates with West Ham United midfielder Kevin Nolan at Upton Park . 'I had the operation about two weeks ago and it has settled down. I'm progressing with my rehab and getting more movement and hopefully I can get back as soon as I can. 'When you look at the fixtures, we have got quite winnable games, so I am confident the lads can get a lot of points from them with the squad we have got. 'I hope the lads stay injury-free and can push on and secure at least a top-half finish - that's definitely our aim.'","James Tomkins underwent surgery on a dislocated shoulder last month .
Defender Tomkins picked up the freak injury during a gym session .
Surgery went well and the 26-year-old is closing in on a return to action .
However, Tomkins accepted it may be too late to feature again this season .
CLICK HERE for all the latest West Ham news ."
7eb0400060741e482ad953d6aa0de59a35c7bfcb,277,False,"An Australian kangaroo has hopped to it's freedom, shocking onlookers in West Germany. Police in Rhein Erft, received a bizarre phone call explaining that a large kangaroo was spotted 'happily' hopping through a field. They immediately assumed it was a April Fools prank and dismissed the strange call. Scroll down for video . Police in Rhein Erft, Germany initially dismissed reports that a kangaroo was found hopping in a field nearby . They discovered that the call was in fact serious and later found the Australian marsupial in a field in Bruhl . It wasn't until the caller was questioned in detail and provided 'very believable' answers, that the police realised that they were telling the truth. They were shocked to find a large, Australian kangaroo 'happily' hopping through a field in the town of Bruhl, 20 kilometres south of the city centre of Cologne. They attempted to capture the beast with the help of the local fire department, to no avail reported Deutsche Welle news. Police instead began to work on finding out who the marsupial belonged to. The owners later came forward and it is believed that the animal's fencing was damaged due to severe storms . They contacted a travelling circus who had recently passed through the area but they could account for all of their kangaroos. The owners later contacted police after their kangaroo had returned to it's enclosure. It is suspected that the animal's fencing was damaged after the severe storm names 'Niklas' by German meteorologists battered through Europe. The super storm had gusts of up to 192 kilometres per hour and was one of the most powerful storms in recent years.","A kangaroo has been found hopping through a field in Bruhl, Germany .
German police initially believed the report was an April Fools day prank .
After realising the caller was serious they found the beast in a nearby field .
The owners later called police when the animal returned to it's enclosure .
It is suspected that the it's fencing was damaged after severe storms ."
893211d171ad5ac105140c805d1b4b3e839d05d4,231,False,"This helpful dog doesn't mind getting his paws dirty with a spot of housework. Baron the German Shepherd was filmed as he helped get the dishes done at home in California. Footage shows the pup reaching up and grabbing rinsed goods between his teeth from the sink, before  loading them into the dishwasher. Once he's put an item in the machine, Baron patiently waits for another to be rinsed by his owner. He then gets back up on his back legs to collect his next load. Baron was professionally trained at the Hill Country K9 school. Other videos show the pup breaking sweat as he helps his trainer workout. He performs a range of moves, including aerobic step exercises and lunges. To date the clip of Baron dishwashing has been watched more than 27,000 times. Many viewers have applauded the dog's cleaning antics, deeming him 'cute' and adorable'. Clever boy: Baron the German Shepard was filmed as he helped get the dishes done at home in California . As his owner stands by the sink, the pup reaches up to grab pots and pans between his teeth before loading them into the dishwasher. Step and repeat: Once he's put an item in the machine, Baron patiently waits for another to be rinsed . Hard at work: He then gets back up on his back legs to collect his next load .","Baron the German Shepard was filmed as he helped get the dishes done at home in California .
The pup was professionally trained at the Hill Country K9 school .
To date the clip of Baron dishwashing has been watched over 27,000 times .
Many viewers have deemed the dog's cleaning antics 'cute' and adorable'"
b70ddef9a6e814cfc9849f66ba15969335a64ced,250,False,"Manny Pacquiao has promoted a range of t-shirts commemorating his impending bout with Floyd Mayweather in Las Vegas on May 2. He uploaded a picture to Instagram of one the shirts, named 'fight gear' on the website selling the merchandise, which is black and has 'The Fight of the Century, Mayweather vs Pacquiao' with a picture of the Filipino boxer across it. Pacquiao wrote 'Get your fight shirts now at MayPacGear.com,' alongside the t-shirt that features him glaring out of the centre. Manny Pacquiao uploaded a picture of one of the shirts made ahead of his fight with Floyd Mayweather . Fans can also choose to buy a shirt in the colours black or white commemorating the encounter . The cheapest shirt has an 'M' for Mayweather' above a 'P' for Pacquiao . Mayweather (left) takes on Pacquiao in what should be an enthralling encounter on May 2 in Las Vegas . In total, there are four shirts for sale, three of which cost $29.99 (321) and one priced at $24.99 (£21). Fans are also able to purchase a shirt with both fighters on, in black or white, which reads 'pound for pound the fight of the century, Mayweather vs Pacquiao.' The final shirt available to supporters has an 'M' for Mayweather over a 'P' for Pacquiao, and is the cheapest of the four on offer. Mayweather and Pacquiao's fight is reportedly set to generate a mouth-watering $300million (£205million). Pacquiao is looking to inflict a first-ever career defeat upon Mayweather.","Manny Pacquiao fights Floyd Mayweather in Las Vegas on May 2 .
Pacquiao shared a picture of a range of t-shirts marking the fight .
The Filipino boxer is looking to inflict Mayweather's first defeat upon him ."
badde2095825e2ce8d2e46fa17b3275022efb16a,215,False,"Nearly 1000 bags of the depressant drug Kava were seized from a vehicle where four unrestrained children were sitting in the back seat. Northern Territory police arrested and charged a 39-year-old man and a 26-year-old woman following the drug bust in Katherine, 320 kilometres southeast of Darwin on Sunday. Detective Sergeant Ian Kennon from the Northern Substance Abuse Intelligence Desk said police pulled over an unregistered Mitsubishi Pajero travelling along the Stuart Highway just before 1pm. During the extensive search, police found approximately 20 kilograms of kava divided into 862 small bags and a small quantity of cannabis. Police have seized an approximately 20 kilograms of the depressant drug Kava - divided into 862 deal bags . An unregistered car was travelling along the Stuart Highway in Katherine southeast of Darwin on Sunday . The man and woman were arrested and taken to Katherine Watch House. The pair were both charged with possessing traffickable quantity of kava, supplying a traffickable quantity of kava and possessing cannabis in a public place. The man was further charged with driving an unregistered motor vehicle, driving an unsafe motor vehicle, failing to restrain a young person (x4) and disorderly behaviour. They will appear in Katherine Magistrates Court on Monday. Sorry we are not currently accepting comments on this article.","Police seized 20 kilograms of kava after pulling over an unregistered car .
A 39-year-old man and a 26-year-old woman have been charged .
Police found the kava divided into 862 deal bags on Sunday .
They also found a small quantity of cannabis and four unrestrained kids .
The pair will appear in Katherine Magistrates Court on Monday .
Kava is a depressant drug made from the root or stump of the kava shrub ."
e41f76bc65fb1980dff8d2abc99dc564c8411429,77,False,"LUNCH . Pink top, £125, lkbennett.com . Floral print skirt, £109, fennwrightmanson.com . Sandals, £34, office.co.uk . Clutch bag, £145, russellandbromley.co.uk . Aurora crystal earrings, £54, qvcuk.com . WORK . Mondrian dress, £220, josephribkoff.com . Suede courts, £195, lkbennett.com . Handbag, £395, luluguinness.com . Skinny belt, £82.50, elliotrhodes.com . WEEKEND . Waistcoat, £69.99, zara.com . Top, £59.95, joules.com . Stripy trousers, £35, oasis-stores.com . Sandals, £38, office.co.uk . Bag, £30, next.co.uk . Ray-Ban sunglasses, £135, Amazon.co.uk .","Pair a floral skirt with a bold, pink sleeveless shirt and matching shoes .
Accessorise a Mondrian print dress with red accents .
Brighten up monochrome stripes with a vibrant orange waistcoat ."
5ac54a1e58f125cd4fd5adc7c3e6f5b29e47b433,243,False,"A man who was arrested at Luton Airport having landed on a flight from Istanbul has been charged with terror offences. Yahya Rashid, 19, of Willesden, north west London, is due to appear at Westminster Magistrates' Court today, Scotland Yard said. Officers from the MPS Counter Terrorism Command arrested Rashid at Luton Airport yesterday on suspicion of preparation of acts of terrorism under section five of the Terrorism Act 2006. A 19-year-old who was arrested at Luton Airport has been charged with terror offences. File photo . He was arrested as he entered the UK having landed on a flight from Istanbul. Rashid was taken to a central London police station where he was charged today. A Met Police statement said: 'Yahya Rashid has been charged with: (i) Between 1 November 2014 and 31 March 2015 with the intention of committing act of terrorism, you engaged in conduct in preparation for giving effect to that intention, Contrary to section 5 of the Terrorism Act 2006 . 'And (ii) Between 1 November 2014 and 31 March 2015 you engaged in conduct with intention of assisting others to commits acts of terrorism you engaged in conduct in preparation to give effect that intention. Contrary to section 5 of the Terrorism Act 2006. 'He is due to appear at Westminster Magistrates' Court today.' Yahya Rashid was due to appear at Westminster Magistrates' Court (pictured) today . Sorry we are not currently accepting comments on this article.","19-year-old from north west of the capital arrested at airport today .
He had just landed in Britain on a flight from Istanbul in Turkey .
Teenager is accused of committing and assisting acts of terrorism .
Charged at police station and due to appear before magistrates today ."
75d3a5fe4845e328a561b00b895bead4c3fb0411,194,False,"(CNN)Hockey player Jarret Stoll of the L.A. Kings was arrested Friday at the swimming pool of a Las Vegas resort on a drug-possession charge, CNN affiliate KSNV reported, citing a police spokesman. Stoll, 32, was charged with possession of controlled substances, including cocaine and ecstasy, according to KSNV. He was released from the Clark County Detention Center late Friday on $5,000 bail. The Kings said in a statement, ""We are aware of police reports out of Clark County, Nevada regarding Jarret Stoll. Our organization is concerned and has begun conducting a thorough internal investigation. While we continue to actively gather facts, we are withholding further comment at this time."" The Canadian player is a center and has been with the Kings since 2008. The Kings, who won the Stanley Cup two of the past three seasons, did not make the NHL playoffs this season. He is reportedly involved with TV personality Erin Andrews, who is a Fox Sports reporter and co-hosts ""Dancing with the Stars."" CNN contacted the Las Vegas Metropolitan Police Department to confirm details on Stoll's arrest, but according to the dispatcher no information was available until the beginning of the week.","Stoll is a center who has played for the Kings since 2008 .
He is reportedly involved with sportscaster and ""Dancing with the Stars"" host Erin Andrews ."
3bf4b957e7a48cf9bb4d37312ce5d9d51ce82945,141,False,"Catalans Dragons have suffered a blow after winger Vincent Duport was ruled out for the rest of the season with a shoulder injury. The France international, who scored three tries in the first six rounds of Super League XX, suffered a ruptured tendon in the Dragons' 33-22 defeat at Hull FC on March 20 which requires surgery. 'The news is a hugely disappointing blow for the player and the whole team,' said Catalans head coach Laurent Frayssinous. Catalans Dragons winger Vincent Duport has been ruled out for the rest of the season with a shoulder injury . 'Vincent already came back from big injuries in the past and I'm sure he will bounce back stronger. 'He is a key member in the team who has to support him.' Next up for the sixth-placed Catalans is a trip to Wigan on Sunday.","French international Vincent Duport is out for the rest of the season .
Winger Duport suffered ruptured tendon against Hull FC defeat in March .
The shoulder injury picked up in the 33-22 defeat requires surgery ."
0ecc8cb598f4bdee432dd9d5de63bd64d74eb794,176,False,"Featherstone prop James Lockwood has been given a two-year ban for breaching the Rugby Football League's anti-doping regulations in the first finding of its kind in the UK. The 29-year-old former Dewsbury forward was handed the suspension by UK Anti-Doping (UKAD) after a sample taken in an out-of-competition test last November returned a positive test for growth hormone releasing factors. In a statement, UKAD said: 'The Drug Control Centre at King's College, London, identified the presence of Growth Hormone Releasing Peptide-2 (pralmorelin) and its metabolite in Mr Lockwood's A sample. James Lockwood has been banned for two years after failing a doping test . 'These are classified under section S2 of the WADA 2014 Prohibited List. This is the first finding of its kind in the UK. 'The athlete is banned from all competition from 3 March 2015 to 2 March 2017.' Lockwood has spent the last three seasons with Featherstone after joining them from Dewsbury in 2012 and was in their team that lost 36-12 to Leigh in last October's Championship Grand Final at Headingley.","Rugby league star James Lockwood has been banned for two years .
Featherstone prop tested positive for growth hormone releasing factors .
Former Dewsbury player was part of team that lost 2014 Grand Final ."
d95242c455c5d0ad794139a84c002d38cc5c7c66,249,False,"(HLN)HLN's #MeForReal is an uplifting, revealing conversation about the way we present ourselves online. We want to see the REAL parts of life, the ones that don't get a filter or a Facebook post but are a part of our realities nonetheless. Tag your favorite unscripted, unedited, un-perfected moments using #MeForReal and see what others are sharing on Facebook, Twitter and the Daily Share. The Internet is always quick to dish out judgmental opinions, such as the body-hate people showed to singer P!nk after she posted a photo of herself in a black dress she wore to a cancer benefit this past weekend (which, if you ask us, was pretty fantastic, and she looked fabulous in it.) As a woman with a lot of experience singing to her detractors, though, she knew exactly what to say and how to say it. And when it came to keeping her tongue firmly in cheek while she schooled people who had nothing better to do than be totally rude, she owned it. Clearly, it's not troubling P!nk or her hubs, Carey Hart (who, by the way, is quite handsome himself, so clearly he has rad taste). Not only did P!nk's response rally her fans, but they also started sharing their own photos of themselves post-pregnancy and embracing what P!nk tells her daughter is her ""squishiness."" Postscript for the haters: We think you just racked up MORE fans for P!nk. Now go look in a mirror, and tell us -- are YOU perfect?","P!nk took to Twitter to address online comments about her body .
Her ""squishiness"" is a result of happiness, she says ."
13b0380c8e560a7daaa157cc1bb79d79f8db4879,257,False,"(CNN)Andrew Getty, the 47-year-old grandson of J. Paul Getty, died Tuesday afternoon in his home in Los Angeles, according to a statement from his mother and father. Ann and Gordon Getty also ""requested that members of the media and the public respect (the family's) privacy during this extremely difficult time,"" the statement added. Getty's death ""appears to be natural (causes) or an accident,"" Ed Winter, assistant chief in the Los Angeles County coroner's office, told CNN affiliate KTLA Tuesday night. Some medication had also been recovered from Getty's home, though investigators don't know if Getty was currently taking it or what his medical history was, Winter said. A female friend was at the home where Getty died and is cooperating with investigators, Los Angeles Police Department Capt. William Hayes said. KTLA reported that Getty was found on his side near a bathroom in his home. Where the Getty family fortune came from . Gordon Getty is one of three sons of J. Paul Getty, the oil tycoon who was thought to be the richest man in the world at the time of his death in 1976. Gordon Getty, 81, has a net worth of $2.1 billion, according to Forbes. Court records show Andrew Getty had recently filed to get a restraining order against a woman. A hearing in the case was scheduled for next week. CNN's attempt to reach Getty's attorney was not immediately successful. People we've lost in 2015 . CNN's Doug Criss, Janet DiGiacomo, Mike Love, Julie In and Cheri Mossburg contributed to this report.","Getty's death appears to be natural causes or accident, coroner's office says .
Mother and father of Andrew Getty confirm death, asks for privacy ."
6d95d128004af3af3501bc0f8d275255d26a6003,259,False,"Aston Villa may be gearing up for an FA Cup semi-final clash against Liverpool on Sunday, but that didn't stop manager Tim Sherwood having some fun during a press conference on Friday. Sherwood showed his softer side during the week when he replied to a letter from six-year-old fan Charlie Pye who had applied for the Villa hotseat after Paul Lambert was sacked in February. The Villa youngster wanted a chocolate bar as a win bonus and would have agreed terms for a signed claret and blue football, a WWE wrestling figure and some sweets - and Sherwood had some fun on Friday as he revealed his 'win bonus' to the assembled media. Tim Sherwood was quizzed about his letter to young Aston Villa fan Charlie Pye on Friday . Sherwood revealed his 'win bonus' to the assembled media in reference to Pye's letter . 'He (Charlie) wrote to the club...he applied for the job when Paul left and I managed to just pip him to the post,' Sherwood joked. 'I wrote to him and just said no hard feelings...just unlucky, maybe next time for you. 'He said that he wanted his mum and dad to be the assistant managers and the win bonus would be sweets and chocolate.' Sherwood then reached down under the desk to reveal a Twix multi-pack. 'He sent me these this morning for my win bonus at Tottenham, so I thank you Charlie for that.' Pye applied for the role when Paul Lambert was sacked but was pipped to the post by Sherwood .","Tim Sherwood took time to reply to Aston Villa fan Charlie Pye .
The six-year-old applied for the Villa job when Paul Lambert was sacked .
Aston Villa face Liverpool at Wembley on Sunday ."
8186c902639c1c4cc202efce741a6a20c30ba504,96,False,"Serie A club Parma have been deducted four points for breaching financial regulations. The sanction adds to the three they were penalised earlier in the season, the Italian Football Federation (FIGC) said on Thursday. Parma's players celebrate beating Juventus at the weekend but the club are rooted to the bottom of Serie A . The decision means that Parma, who despite being last in Serie A beat leaders Juventus 1-0 on Saturday, have been left with 12 points from 30 games. The club were declared bankrupt last month and have not paid their players all season.","Parma declared bankrupt last month and haven't paid players all season .
They were deducted three points earlier in the Serie A season .
The four-point sanction leaves them with 12 points from 30 games ."
0c21d0b6577448607dbc36ad191a482a9c15efc9,280,False,"A Ferrari driver was left counting the cost in Adelaide after crashing his newly-purchased, uninsured sports car into a tree on Wednesday night, seriously injuring a male passenger. The passenger was badly injured after the driver of the Ferrari, reportedly purchased only a week ago, smashed into a tree in the Adelaide suburb of North Brighton. The crash involving the 1991 Ferrari 348, worth between $90k and $110k and sporting 'Plesur' number plates, took place at around 8.25pm on King George Avenue. Scroll down for video . A passenger was badly injured after the driver of the Ferrari, bought only a week ago, smashed into a tree in the Adelaide suburb of North Brighton . Despite the driver coming out of the accident unscathed, his male passenger suffered head and leg injuries. A South Australia Ambulance spokeswoman said the passenger was conscious when paramedics attended the scene and was taken to Flinders Medical Centre. Traffic Superintendent Garry Stewart said that speed was likely a factor and there was no evidence of drink-driving. The passenger was conscious when paramedics attended the scene and was taken to Flinders Medical Centre . The Adelaide Reporter reports that Superintendent Stewart said the driver took a corner just before he lost control of the supercar. ‘Yes, I would say speed was a factor,’ he said. ‘There’s no evidence of drink-driving on the driver’s behalf.’ The crashed 1991 Ferrari 348 is thought to be worth between $90k and $110k . The Advertiser also reported that the owner had only purchased the 1991 Ferrari 348 a week ago and it was uninsured. King George Avenue was closed to traffic near the crash scene for about two hours.","Driver crashed his uninsured sports car into a tree on Wednesday night .
The Ferrari was reportedly purchased by the owner only a week ago .
A male passenger was also seriously injured in the crash .
The 1991 Ferrari 348 is worth between $90k and $110k .
The passenger was conscious and was taken to Flinders Medical Centre ."
f6cd3772717e971debbf903f71890142d6a6e34f,238,False,"A man in a motorized wheelchair was plucked from electrified subway tracks Tuesday after falling from the platform. The man, who has not been named, was pulled up from the rails of the Washington, D.C., metro system by two men who leaped down after him. The rescuers, who also have not been identified, sprang into action after seeing the man's wheelchair unexpected roll over the lip of the platform on Tuesday afternoon. Tumble: The man, who has not been named, fell onto tracks in Washington, D.C., Tuesday afternoon . Surveillance footage recorded at the U Street station, on the green and yellow lines of the metro system, recorded the swift rescue. It shows commuters in the city center station getting up from their seats then crowding round the scene of the accident . According to Fox5 News, the man only had minor face injuries. Saviors: Two men are seen on the tracks - which have an electrified third rail - helping the man to safety . It is unclear exactly what sent the electric wheelchair tumbling over the edge of the platform. There were reportedly no trains due for several minutes after the man fell. The incident comes just under a week after a man was rescued after falling onto subway tracks in Philadelphia. Elderly Alfred McNamee slipped and seriously injured himself in that incident, but was saved by 28-year-old Charles Collins and is now recovering in hospital.","Man using electric wheelchair rolled over platform edge Tuesday afternoon .
Commuters leaped up to help at U Street station in Washington, D.C.
Man escaped with only minor face injuries after two men helped him up ."
b29809fc6ace3be1f0274c7b39552cc43111dec5,284,False,"Liverpool are watching Monaco midfielder Geoffrey Kondogbia. The France international was one of the most coveted players in Europe prior to signing for the wealthy French club from Sevilla in 2013. Real Madrid, Manchester United, Juventus and Paris St Germain were all keen. Geoffrey Kondogbia has impressed Liverpool scouts this season in Europe and Ligue 1 . Kondogbia celebrates after scoring against Arsenal in the first leg of their Champions League last 16 clash . Kondogbia pictured in action for France against Denmark during the recent international break . He had an initial dip in form after his move but has since kicked on again and has impressed Liverpool scouts in Europe and the French league this season. The 22-year-old was key to Monaco's Champions League victory over Arsenal, particularly in their first leg performance at The Emirates and is back on the radar of other big clubs. Kondogbia has represented France three times and has made 23 appearances for Monaco this season. Liverpool remain keen on bringing Danny Ings, whose contract expires in the summer, to Anfield from Burnley . Club also monitoring James Milner as his Manchester City contract expires at the end of the season . Liverpool's budget and attraction will hinge on qualification for the Champions League which Brendan Rodgers admits looks slim. They remain in the frame for James Milner and Danny Ings. The English duo's contacts are set to expire at the end of the season with neither player looking likely to extend their current deals. Milner would be available for nothing should he decide to leave Manchester City, while a compensation fee would have to be agreed between Liverpool and Burnley for Ings because of his age.","Liverpool scouts have been impressed by Geoffrey Kondogbia this season .
The midfielder was one of the most coveted youngsters in Europe .
France international joined Monaco from Sevilla in 2013 for £17million .
Liverpool remain in the frame for James Milner and Danny Ings ."
b7da28bbb98bb63323b29b6a2ccfb54efa42f048,288,False,"The British Army fired 46 million bullets at the Taliban during the eight-year Afghanistan conflict at a cost of £200 million in ammunition alone. The large amount of ammunition expended during the conflict shows the intense nature of the fighting between British troops and their Taliban opponents. According to data released by the Ministry of Defence, some 27 million 5.56 rounds were fired from either the standard SA-80 assault rifle or minimi machine gun. The British Army fired approximately 10,000 rounds from their SA-80 assault rifles during Afghan conflict . Each of the 5.56mm rounds, pictured, used in the SA-80 assault rifle costs approximately 50p . Each round cost approximately 50p. A further two million 9mm rounds were fired from handguns. According to a Freedom of Information request by the Daily Mirror, at least 80,000, 105mm artillery shells - at a cost of £1,250 each - were fired at Taliban positions. Soldiers went through an estimated £5,000 worth of ammunition for the their assault rifles every day during the eight-year conflict. A further 55,000, 30mm rounds were fired from Apache gunships. Each of these rounds costs about £65, but are able to go through solid concrete and can destroy a Taliban vehicle in seconds. The helicopters are able to provide vital close air support for ground troops pinned down by the opposition. SAS veteran Robert Henry Craft told the Mirror: 'The amount of ammo expended shows how British troops in Afghanistan were fighting for their lives every day. 'That so many 9mm rounds were used shows how close the fighting was at times'. The conflict claimed 453 UK lives. One former SAS solider, not pictured, said British troops were fighting for their lives on a daily basis .","Some 27 million rounds were fired from the Army's SA-80 assault rifles .
New figures show that seven rounds were fired every minute at the Taliban .
A further 80,000 105mm artillery shells were used during the eight-year war .
Apache gunships also blasted  55,000 30mm rounds at the insurgents ."
c78c2f4141bc6caf83cfeda471abfe677bf93eb1,288,False,"They say you should never forget your roots. Even more so in the case of this striking tree spotted in southern China. The banyan tree in Guangxi province does not stand on a single trunk, but a whole web of roots. It has captured the attention of locals, who say they have watched the whole thing sway in the wind due to its flimsy structure, reported the People's Daily Online. Scroll down for video . Fairy tale: The Banyan looks like enchanted trees found in children’s books . Uprooted: The original tree roots grew up against a wall, before it was moved to a nearby park . Originally the roots of the tree grew up against a wall, but when the wall was demolished the tree was carefully uprooted to its new location Northern Gulf Marine and Cultural Park in Fangchenggang city. The roots then became the trunk of the tree, leading to its strange appearance. These photos show how the entangled trunks look like something straight out of the Enchanted Forest. It is truly remarkable that the web of overlapping roots can support the weight of the tree above. Banyan trees are found in hot climates and known for their extensive roots. Sometimes the roots grow so out of control that they eventually engulf the tree and kill it. Another webbed tree trunk as shown in the video below was spotted in a public park last December in Nanning City -- also in Guangxi -- where monster roots have grown to create a trellis effect. Remarkable: The web is so flimsy that the entire tree sways in the wind . Entangled: The trees are known for their extensive network of roots, which often grow above ground .","Roots of the Banyan tree in southern China originally grew against a wall .
When moved to its new home, the entangled roots became the trunk .
The structure is so lightweight that the entire tree sways in the breeze ."
